entry_time,exit_time,direction,entry,exit,sl,target,exit_reason,pnl_r,pnl_dollars,equity_after
1753441800,1753443300,long,116453.0,116663.15049999999,116242.84950000001,116873.30099999998,SL,1.0,100.0,10100.0
1753448400,1753450200,short,116110.5,116496.219,116496.219,115339.062,SL,-1.0,-101.0,9999.0
1753450500,1753450800,short,115968.5,115801.46125000001,116135.53874999999,115634.42250000002,SL,1.0,99.99,10098.99
1753451100,1753461900,short,115934.5,115934.5,116642.29199999999,114518.91600000003,SL,0.0,0.0,10098.99
1753462500,1753464000,long,116046.5,116046.5,115794.07400000001,116551.35199999998,SL,0.0,0.0,10098.99
1753464600,1753464900,long,116183.0,115854.54375000001,115854.54375000001,116839.91249999998,SL,-1.0,-100.99,9998.0
1753469100,1753470900,long,116432.0,116618.15199999999,116245.84800000001,116804.30399999997,SL,1.0,99.98,10097.98
1753471200,1753472400,long,116641.5,116870.73525,116412.26475,117099.9705,SL,1.0,100.98,10198.96
1753475100,1753475400,long,116721.5,116721.5,116523.709,117117.082,SL,0.0,0.0,10198.96
1753484700,1753486500,long,117274.0,117418.594,117129.406,117563.188,SL,1.0,101.99,10300.95
1753490100,1753490700,long,117537.0,117395.273,117395.273,117820.454,SL,-1.0,-103.01,10197.94
1753502700,1753518300,short,117467.0,117467.0,117602.772,117195.456,SL,0.0,0.0,10197.94
1753531500,1753532400,short,117770.0,117881.41124999999,117881.41124999999,117547.17750000002,SL,-1.0,-101.98,10095.96
1753547400,1753548000,long,118163.0,118062.93900000001,118062.93900000001,118363.12199999997,SL,-1.0,-100.96,9995.0
1753567200,1753568400,long,118044.5,118152.49775,117936.50225,118260.49549999999,SL,1.0,99.95,10094.95
1753568700,1753569000,long,118151.0,117987.47675,117987.47675,118478.0465,SL,-1.0,-100.95,9994.0
1753571100,1753578300,short,117986.0,117986.0,118112.52674999999,117732.94650000002,SL,0.0,0.0,9994.0
1753584000,1753584600,long,118171.5,118266.56774999999,118076.43225000001,118361.63549999997,SL,1.0,99.94,10093.94
1753589700,1753598400,short,118173.5,118310.1255,118310.1255,117900.24900000001,SL,-1.0,-100.94,9993.0
1753604400,1753605600,short,118086.0,117992.43975,118179.56025,117898.87950000001,SL,1.0,99.93,10092.93
1753606500,1753611300,short,117953.5,118110.02549999999,118110.02549999999,117640.44900000002,SL,-1.0,-100.93,9992.0
1753617300,1753620900,short,118040.0,118040.0,118191.56624999999,117736.86750000002,SL,0.0,0.0,9992.0
1753625100,1753625700,long,118194.5,118326.56074999999,118062.43925000001,118458.62149999998,SL,1.0,99.92,10091.92
1753628400,1753632000,long,118431.0,118645.13799999999,118216.86200000001,118859.27599999998,SL,1.0,100.92,10192.84
1753639800,1753641000,long,119331.5,119107.4165,119107.4165,119779.66699999999,SL,-1.0,-101.93,10090.91
1753646100,1753646700,short,118944.0,119116.02824999999,119116.02824999999,118599.94350000002,SL,-1.0,-100.91,9990.0
1753650900,1753651500,short,118761.0,118928.43449999999,118928.43449999999,118426.13100000002,SL,-1.0,-99.9,9890.1
1753667700,1753668600,short,118992.0,119189.06474999999,119189.06474999999,118597.87050000002,SL,-1.0,-98.9,9791.2
1753674300,1753675200,short,119243.5,119420.18024999999,119420.18024999999,118890.13950000002,SL,-1.0,-97.91,9693.29
1753676100,1753677600,short,119290.0,119290.0,119452.69649999999,118964.60700000002,SL,0.0,0.0,9693.29
1753682100,1753686000,long,119530.5,119313.3135,119313.3135,119964.87299999999,SL,-1.0,-96.93,9596.36
1753695900,1753696200,short,118801.0,118915.92825,118915.92825,118571.1435,SL,-1.0,-95.96,9500.39
1753700700,1753702500,short,118726.0,118593.6005,118858.3995,118461.201,SL,1.0,95.0,9595.4
1753713000,1753716300,short,118094.5,118350.64575,118350.64575,117582.20850000001,SL,-1.0,-95.95,9499.44
1753721400,1753721700,long,118370.0,118190.37525000001,118190.37525000001,118729.24949999998,SL,-1.0,-94.99,9404.45
1753725300,1753726200,short,117711.5,117711.5,117918.93,117296.64000000001,SL,0.0,0.0,9404.45
1753738800,1753739700,long,118169.0,117948.99600000001,117948.99600000001,118609.00799999997,SL,-1.0,-94.04,9310.41
1753746300,1753746600,long,118104.0,117919.01100000001,117919.01100000001,118473.97799999997,SL,-1.0,-93.1,9217.3
1753747500,1753749000,long,118056.0,118056.0,117745.59775,118676.8045,SL,0.0,0.0,9217.3
1753752300,1753753500,long,118162.5,117982.979,117982.979,118521.54199999999,SL,-1.0,-92.17,9125.13
1753767900,1753768500,long,118722.0,118722.0,118624.15825000001,118917.68349999998,SL,0.0,0.0,9125.13
1753770000,1753771200,long,118851.0,118851.0,118657.64150000001,119237.71699999998,SL,0.0,0.0,9125.13
1753774500,1753774800,short,118752.0,118891.91625,118891.91625,118472.16750000001,SL,-1.0,-91.25,9033.88
1753777200,1753777500,long,118990.5,118854.04325,118854.04325,119263.4135,SL,-1.0,-90.34,8943.54
1753782900,1753783200,short,118804.0,118804.0,118948.4445,118515.111,SL,0.0,0.0,8943.54
1753785900,1753786800,short,118562.5,118141.78650000002,118772.85674999999,118141.78650000002,Target,2.0,178.87,9122.41
1753789200,1753790100,short,118372.0,118560.2505,118560.2505,117995.49900000001,SL,-1.0,-91.22,9031.19
1753791900,1753792500,long,118580.0,118946.45599999998,118396.77200000001,118946.45599999998,Target,2.0,180.62,9211.81
1753792800,1753797000,long,119044.0,118616.16225000001,118616.16225000001,119899.67549999998,SL,-1.0,-92.12,9119.69
1753799700,1753801800,short,118091.5,117775.32575,118407.67425,117459.1515,SL,1.0,91.2,9210.89
1753803900,1753806600,short,117434.0,117254.72275,117613.27725,117075.4455,SL,1.0,92.11,9303.0
1753813200,1753813800,short,117470.5,117777.85949999999,117777.85949999999,116855.78100000002,SL,-1.0,-93.03,9209.97
1753815000,1753816500,short,117655.0,117842.39175,117842.39175,117280.21650000001,SL,-1.0,-92.1,9117.87
1753819800,1753820100,short,117394.5,117662.30175,117662.30175,116858.8965,SL,-1.0,-91.18,9026.69
1753821600,1753826100,short,117181.0,117610.776,117610.776,116321.448,SL,-1.0,-90.27,8936.42
1753828500,1753832700,long,117700.5,117700.5,117497.72175000001,118106.05649999998,SL,0.0,0.0,8936.42
1753833600,1753834800,long,117857.5,117713.114,117713.114,118146.272,SL,-1.0,-89.36,8847.06
1753854300,1753855200,short,117865.0,118019.98049999999,118019.98049999999,117555.03900000002,SL,-1.0,-88.47,8758.59
1753863600,1753864800,short,117985.5,118227.08399999999,118227.08399999999,117502.33200000002,SL,-1.0,-87.59,8671.0
1753870200,1753872600,long,118286.0,118079.43075,118079.43075,118699.1385,SL,-1.0,-86.71,8584.29
1753875900,1753876500,short,117792.5,117561.51775000001,118023.48224999999,117330.53550000003,SL,1.0,85.84,8670.13
1753876800,1753878000,short,117511.5,117728.83499999999,117728.83499999999,117076.83000000002,SL,-1.0,-86.7,8583.43
1753880400,1753880700,long,117729.0,117520.2105,117520.2105,118146.579,SL,-1.0,-85.83,8497.6
1753886700,1753887000,long,118036.0,118321.90449999999,117750.09550000001,118607.80899999998,SL,1.0,84.98,8582.57
