entry_time,exit_time,direction,entry,exit,sl,target,exit_reason,pnl_r,pnl_dollars,equity_after
1753443000,1753452900,long,116677.5,115412.265,115412.265,119207.97,SL,-1.0,-100.0,9900.0
1753454700,1753470900,short,115092.5,116642.29199999999,116642.29199999999,111992.91600000003,SL,-1.0,-99.0,9801.0
1753471200,1753584600,long,116639.0,118347.8425,115784.57875,118347.8425,Target,2.0,196.02,9997.02
1753585200,1753606800,long,118315.0,117932.00450000001,117932.00450000001,119080.99099999998,SL,-1.0,-99.97,9897.05
1753607100,1753612800,short,117953.5,118244.0925,118244.0925,117372.315,SL,-1.0,-98.97,9798.08
1753613700,1753632000,long,118241.5,118705.41824999999,117777.58175000001,119169.33649999998,SL,1.0,97.98,9896.06
1753632300,1753712400,long,118984.0,118098.921,118098.921,120754.158,SL,-1.0,-98.96,9797.1
1753713000,1753775100,short,118061.5,119139.54,119139.54,115905.42000000001,SL,-1.0,-97.97,9699.13
1753775700,1753783200,long,118971.5,118657.64150000001,118657.64150000001,119599.21699999998,SL,-1.0,-96.99,9602.14
1753783800,1753800600,short,118531.0,117970.48400000001,119091.51599999999,117409.96800000002,SL,1.0,96.02,9698.16
1753801200,1753904400,short,117794.0,116525.99875000001,119062.00124999999,115257.99750000003,SL,1.0,96.98,9795.14
1753913100,1753922400,long,117290.5,118191.39849999998,116840.05075000001,118191.39849999998,Target,2.0,195.9,9991.04
1753922700,1753989000,long,118312.5,117333.80375,117333.80375,120269.89249999999,SL,-1.0,-99.91,9891.13
1753989600,1754009400,short,117168.5,114988.30050000001,118258.59975,114988.30050000001,Target,2.0,197.82,10088.96
1754009700,1754094300,short,114969.0,113561.34075,116376.65925,112153.6815,SL,1.0,100.89,10189.84
1754095800,1754150100,long,113698.0,112806.06875,112806.06875,115481.86249999999,SL,-1.0,-101.9,10087.95
1754150700,1754162100,short,112863.0,112272.80175000001,113453.19824999999,111682.60350000003,SL,1.0,100.88,10188.83
1754171700,1754181300,long,113020.0,111964.48975000001,111964.48975000001,115131.02049999998,SL,-1.0,-101.89,10086.94
1754181600,1754182800,short,112303.0,112977.96075,112977.96075,110953.0785,SL,-1.0,-100.87,9986.07
1754183100,1754269200,long,112851.5,114936.36499999999,111809.0675,114936.36499999999,Target,2.0,199.72,10185.79
1754269500,1754335800,long,114775.5,114775.5,114007.46775000001,116311.56449999998,SL,0.0,0.0,10185.79
1754336400,1754381700,short,114767.0,114193.3585,115340.6415,113619.717,SL,1.0,101.86,10287.65
1754383200,1754397300,long,114294.5,114294.5,113605.16900000001,115673.16199999998,SL,0.0,0.0,10287.65
1754397900,1754425200,short,113839.5,113839.5,115003.473,111511.554,SL,0.0,0.0,10287.65
1754425500,1754492100,long,113805.0,114460.60299999999,113149.39700000001,115116.20599999998,SL,1.0,102.88,10390.52
1754492700,1754633100,long,114940.5,116406.7655,113474.2345,117873.03099999999,SL,1.0,103.91,10494.43
1754633400,1754637300,short,116354.5,116856.89924999999,116856.89924999999,115349.70150000002,SL,-1.0,-104.94,10389.48
