entry_time,exit_time,direction,entry,exit,sl,target,exit_reason,pnl_r,pnl_dollars,equity_after
1753447200,1753455600,short,115950.0,115256.7075,116643.2925,114563.41500000001,SL,1.0,100.0,10100.0
1753459500,1753475700,long,115775.0,116998.22099999999,115163.3895,116998.22099999999,Target,2.0,202.0,10302.0
1753494000,1753497000,short,117305.0,117608.775,117608.775,116697.45000000001,SL,-1.0,-103.02,10198.98
1753497300,1753632600,long,117733.5,119007.655,117096.4225,119007.655,Target,2.0,203.98,10402.96
1753642800,1753653600,short,119012.0,119333.13674999999,119333.13674999999,118369.72650000002,SL,-1.0,-104.03,10298.93
1753660500,1753661700,short,119449.0,119583.76199999999,119583.76199999999,119179.47600000002,SL,-1.0,-102.99,10195.94
1753662300,1753663200,long,119657.5,119286.327,119286.327,120399.84599999999,SL,-1.0,-101.96,10093.98
1753664100,1753669800,short,119321.0,119764.35225,119764.35225,118434.29550000001,SL,-1.0,-100.94,9993.04
1753670100,1753686300,long,119764.0,118961.98925000001,118961.98925000001,121368.02149999997,SL,-1.0,-99.93,9893.11
1753686600,1753710000,short,118945.5,118945.5,119550.24524999999,117736.00950000001,SL,0.0,0.0,9893.11
1753721400,1753722000,long,118366.5,117952.49425,117952.49425,119194.5115,SL,-1.0,-98.93,9794.18
1753730100,1753731900,long,118137.0,117552.69425,117552.69425,119305.6115,SL,-1.0,-97.94,9696.24
1753732500,1753734900,short,117936.5,117936.5,118261.60124999999,117286.29750000002,SL,0.0,0.0,9696.24
1753736400,1753775100,long,118030.0,119252.47749999998,117418.76125000001,119252.47749999998,Target,2.0,193.92,9890.16
1753780200,1753780500,short,118935.0,118806.498,119063.502,118677.99600000001,SL,1.0,98.9,9989.06
1753780800,1753786500,short,118811.0,118305.99600000001,119063.502,118305.99600000001,Target,2.0,199.78,10188.85
1753792200,1753797600,long,118918.0,118358.79100000001,118358.79100000001,120036.41799999998,SL,-1.0,-101.89,10086.96
1753797900,1753807500,short,118348.0,117633.99875000001,119062.00124999999,116919.99750000003,SL,1.0,100.87,10187.83
1753809300,1753890600,long,117871.5,117871.5,117001.47,119611.56,SL,0.0,0.0,10187.83
1753891800,1753901700,short,117673.5,116501.29950000002,118259.60024999999,116501.29950000002,Target,2.0,203.76,10391.58
1753906800,1753922700,long,117185.0,118484.59349999999,116535.20325,118484.59349999999,Target,2.0,207.83,10599.42
1753940100,1753944300,short,118372.5,118576.2585,118576.2585,117964.98300000001,SL,-1.0,-105.99,10493.42
1753953000,1753968600,short,118475.5,117827.76000000001,118799.37,117827.76000000001,Target,2.0,209.87,10703.29
1753970700,1753982700,long,118393.5,117735.103,117735.103,119710.294,SL,-1.0,-107.03,10596.26
1754015100,1754032200,long,115758.0,114957.99225000001,114957.99225000001,117358.01549999998,SL,-1.0,-105.96,10490.29
1754040000,1754051400,long,115112.5,115112.5,114449.24675,116439.00649999999,SL,0.0,0.0,10490.29
1754056200,1754171400,short,114452.5,112976.06450000001,115928.93549999999,111499.62900000002,SL,1.0,104.9,10595.2
1754177100,1754181600,short,112433.5,112433.5,112977.96075,111344.5785,SL,0.0,0.0,10595.2
1754182800,1754316000,long,112900.5,115083.36499999999,111809.0675,115083.36499999999,Target,2.0,211.9,10807.1
1754322000,1754323500,short,114679.0,115050.99674999999,115050.99674999999,113935.00650000002,SL,-1.0,-108.07,10699.03
1754324100,1754333100,long,114990.0,114990.0,114453.24475000001,116063.51049999997,SL,0.0,0.0,10699.03
1754341200,1754342100,long,114765.5,115099.15599999999,114598.672,115099.15599999999,Target,2.0,213.98,10913.01
1754342400,1754357700,long,115050.0,114708.11725000001,114708.11725000001,115733.76549999998,SL,-1.0,-109.13,10803.88
1754371500,1754375700,long,114326.5,114326.5,114211.8655,114555.769,SL,0.0,0.0,10803.88
1754376600,1754379300,short,114218.5,113897.25875000001,114539.74124999999,113576.01750000002,SL,1.0,108.04,10911.92
1754383200,1754391600,long,114294.5,114746.44975,113842.55025,115198.3995,SL,1.0,109.12,11021.04
1754397000,1754397300,short,114482.0,114034.56400000001,114929.43599999999,113587.12800000003,SL,1.0,110.21,11131.25
1754413800,1754421300,long,113122.5,113535.88274999999,112709.11725000001,113949.26549999998,SL,1.0,111.31,11242.56
1754431200,1754433000,short,113541.0,113868.40574999999,113868.40574999999,112886.18850000002,SL,-1.0,-112.43,11130.14
1754440800,1754441100,short,113985.0,113856.47175000001,114113.52824999999,113727.94350000002,SL,1.0,111.3,11241.44
1754441400,1754456700,short,113716.0,113716.0,114065.004,113017.992,SL,0.0,0.0,11241.44
1754457300,1754492100,long,113911.0,114538.67,113283.33,115166.34,SL,1.0,112.41,11353.85
1754509200,1754517000,short,115263.5,114973.25200000001,115553.74799999999,114683.00400000002,SL,1.0,113.54,11467.39
1754530500,1754531700,long,115032.5,114772.08525,114772.08525,115553.32949999999,SL,-1.0,-114.67,11352.72
1754532000,1754560800,short,114714.5,115215.579,115215.579,113712.342,SL,-1.0,-113.53,11239.19
